state,period,amount
Ohio,2008,6725195
Oklahoma,2008,2186554
Oregon,2008,2288619
Pennsylvania,2008,7278608
Rhode Island,2008,608905
South Carolina,2008,2472423
South Dakota,2008,561007
Tennessee,2008,3677072
Texas,2008,14365941
Utah,2008,1688150
Vermont,2008,424270
Virginia,2008,4870415
Washington,2008,3954911
West Virginia,2008,918366
Wisconsin,2008,3572922
Wyoming,2008,398969
New England,2008,9173266
Mideast,2008,28370832
Great Lakes,2008,26871751
Plains,2008,13298065
Southeast,2008,43724980
Southwest,2008,21060750
Rocky Mountain,2008,6895480
Far West,2008,29818776
United States,2009,173636700
Alabama,2009,2479507
Alaska,2009,442447
Arizona,2009,3228493
Arkansas,2009,1542944
California,2009,19837628
Colorado,2009,3164426
Connecticut,2009,2196161
Delaware,2009,525634
District of Columbia,2009,795912
Florida,2009,9841883
Georgia,2009,5247022
Hawaii,2009,829897
Idaho,2009,880480
Illinois,2009,7304316
Indiana,2009,3523018
Iowa,2009,1959142
Kansas,2009,1813184
Kentucky,2009,2325249
Louisiana,2009,2529953
Maine,2009,800501
Maryland,2009,3359485
Massachusetts,2009,4115997
Michigan,2009,5046501
Minnesota,2009,3424435
Mississippi,2009,1492290
Missouri,2009,3522652
Montana,2009,619407
Nebraska,2009,1223177
Nevada,2009,1512913
New Hampshire,2009,820809
New Jersey,2009,4992063
New Mexico,2009,1072062
New York,2009,10984350
North Carolina,2009,5215744
North Dakota,2009,492417
Ohio,2009,6454964
Oklahoma,2009,2136548
Oregon,2009,2189148
Pennsylvania,2009,7101557
Rhode Island,2009,588284
South Carolina,2009,2367886
South Dakota,2009,556453
Tennessee,2009,3523861
Texas,2009,14202794
Utah,2009,1633982
Vermont,2009,414181
Virginia,2009,4758119
Washington,2009,3815691
West Virginia,2009,899038
Wisconsin,2009,3444622
Wyoming,2009,387473
New England,2009,8935933
Mideast,2009,27759001
Great Lakes,2009,25773421
Plains,2009,12991460
Southeast,2009,42223496
Southwest,2009,20639897
Rocky Mountain,2009,6685768
Far West,2009,28627724
United States,2010,172901700
Alabama,2010,2460298
Alaska,2010,443904
Arizona,2010,3181571
Arkansas,2010,1541272
California,2010,19642444
Colorado,2010,3143637
Connecticut,2010,2171933
Delaware,2010,522400
District of Columbia,2010,809137
Florida,2010,9805154
Georgia,2010,5211352
Hawaii,2010,824460
Idaho,2010,868718
Illinois,2010,7251002
Indiana,2010,3525335
Iowa,2010,1950444
Kansas,2010,1801873
Kentucky,2010,2325921
Louisiana,2010,2536560
Maine,2010,791331
Maryland,2010,3345423
Massachusetts,2010,4115539
Michigan,2010,5038194
Minnesota,2010,3408753
Mississippi,2010,1490731
Missouri,2010,3475301
Montana,2010,616344
Nebraska,2010,1219802
Nevada,2010,1478054
New Hampshire,2010,813707
