industry,period,amount
          Durable goods manufacturing,2008:Q4,963540
          Nondurable goods manufacturing,2008:Q4,801087
      Wholesale trade,2008:Q4,871316
      Retail trade,2008:Q4,851473
      Transportation and warehousing,2008:Q4,434353
      Information,2008:Q4,708030
      Finance and insurance,2008:Q4,775263
      Real estate and rental and leasing,2008:Q4,1909933
"      Professional, scientific, and technical services",2008:Q4,1063558
      Management of companies and enterprises,2008:Q4,262489
      Administrative and support and waste management and remediation services,2008:Q4,436020
      Educational services,2008:Q4,153928
      Health care and social assistance,2008:Q4,1024799
"      Arts, entertainment, and recreation",2008:Q4,142095
      Accommodation and food services,2008:Q4,392194
      Other services (except government and government enterprises),2008:Q4,334137
  Government and government enterprises,2008:Q4,1939136
All industry total,2009:Q1,14287426
  Private industries,2009:Q1,12337256
"      Agriculture, forestry, fishing, and hunting",2009:Q1,130316
"      Mining, quarrying, and oil and gas extraction",2009:Q1,301473
      Utilities,2009:Q1,256532
      Construction,2009:Q1,606301
      Manufacturing,2009:Q1,1711022
          Durable goods manufacturing,2009:Q1,891668
          Nondurable goods manufacturing,2009:Q1,819354
      Wholesale trade,2009:Q1,828839
      Retail trade,2009:Q1,837118
      Transportation and warehousing,2009:Q1,405638
      Information,2009:Q1,703105
      Finance and insurance,2009:Q1,909720
      Real estate and rental and leasing,2009:Q1,1914623
"      Professional, scientific, and technical services",2009:Q1,1024989
      Management of companies and enterprises,2009:Q1,239603
      Administrative and support and waste management and remediation services,2009:Q1,418504
      Educational services,2009:Q1,161084
      Health care and social assistance,2009:Q1,1035587
"      Arts, entertainment, and recreation",2009:Q1,139247
      Accommodation and food services,2009:Q1,383197
      Other services (except government and government enterprises),2009:Q1,330356
  Government and government enterprises,2009:Q1,1950170
All industry total,2009:Q2,14242156
  Private industries,2009:Q2,12277731
"      Agriculture, forestry, fishing, and hunting",2009:Q2,132240
"      Mining, quarrying, and oil and gas extraction",2009:Q2,275880
      Utilities,2009:Q2,246350
      Construction,2009:Q2,580832
      Manufacturing,2009:Q2,1699522
          Durable goods manufacturing,2009:Q2,861673
          Nondurable goods manufacturing,2009:Q2,837848
      Wholesale trade,2009:Q2,811806
      Retail trade,2009:Q2,837674
      Transportation and warehousing,2009:Q2,393143
      Information,2009:Q2,699738
      Finance and insurance,2009:Q2,980602
      Real estate and rental and leasing,2009:Q2,1902377
"      Professional, scientific, and technical services",2009:Q2,999642
      Management of companies and enterprises,2009:Q2,245488
      Administrative and support and waste management and remediation services,2009:Q2,411009
      Educational services,2009:Q2,162598
      Health care and social assistance,2009:Q2,1048725
"      Arts, entertainment, and recreation",2009:Q2,137912
      Accommodation and food services,2009:Q2,382516
      Other services (except government and government enterprises),2009:Q2,329678
