,Year,Period,Label,Observation Value
279,1971,M04,1971 Apr,5.7
280,1971,M05,1971 May,5.3
281,1971,M06,1971 Jun,6.5
282,1971,M07,1971 Jul,6.2
283,1971,M08,1971 Aug,5.9
284,1971,M09,1971 Sep,5.8
285,1971,M10,1971 Oct,5.4
286,1971,M11,1971 Nov,5.7
287,1971,M12,1971 Dec,5.5
288,1972,M01,1972 Jan,6.5
289,1972,M02,1972 Feb,6.4
290,1972,M03,1972 Mar,6.1
291,1972,M04,1972 Apr,5.5
292,1972,M05,1972 May,5.1
293,1972,M06,1972 Jun,6.2
294,1972,M07,1972 Jul,5.9
295,1972,M08,1972 Aug,5.5
296,1972,M09,1972 Sep,5.4
297,1972,M10,1972 Oct,5.1
298,1972,M11,1972 Nov,4.9
299,1972,M12,1972 Dec,4.8
300,1973,M01,1973 Jan,5.5
301,1973,M02,1973 Feb,5.6
302,1973,M03,1973 Mar,5.2
303,1973,M04,1973 Apr,4.8
304,1973,M05,1973 May,4.4
305,1973,M06,1973 Jun,5.4
306,1973,M07,1973 Jul,5.0
307,1973,M08,1973 Aug,4.7
308,1973,M09,1973 Sep,4.7
309,1973,M10,1973 Oct,4.2
310,1973,M11,1973 Nov,4.6
311,1973,M12,1973 Dec,4.6
312,1974,M01,1974 Jan,5.7
313,1974,M02,1974 Feb,5.8
314,1974,M03,1974 Mar,5.3
315,1974,M04,1974 Apr,4.8
316,1974,M05,1974 May,4.6
317,1974,M06,1974 Jun,5.8
318,1974,M07,1974 Jul,5.7
319,1974,M08,1974 Aug,5.3
320,1974,M09,1974 Sep,5.7
321,1974,M10,1974 Oct,5.5
322,1974,M11,1974 Nov,6.2
323,1974,M12,1974 Dec,6.7
324,1975,M01,1975 Jan,9.0
325,1975,M02,1975 Feb,9.1
326,1975,M03,1975 Mar,9.1
327,1975,M04,1975 Apr,8.6
328,1975,M05,1975 May,8.3
329,1975,M06,1975 Jun,9.1
330,1975,M07,1975 Jul,8.7
331,1975,M08,1975 Aug,8.2
332,1975,M09,1975 Sep,8.1
333,1975,M10,1975 Oct,7.8
334,1975,M11,1975 Nov,7.8
335,1975,M12,1975 Dec,7.8
336,1976,M01,1976 Jan,8.8
337,1976,M02,1976 Feb,8.7
338,1976,M03,1976 Mar,8.1
339,1976,M04,1976 Apr,7.4
340,1976,M05,1976 May,6.8
341,1976,M06,1976 Jun,8.0
342,1976,M07,1976 Jul,7.8
343,1976,M08,1976 Aug,7.6
344,1976,M09,1976 Sep,7.4
345,1976,M10,1976 Oct,7.2
346,1976,M11,1976 Nov,7.4
347,1976,M12,1976 Dec,7.4
348,1977,M01,1977 Jan,8.3
349,1977,M02,1977 Feb,8.5
350,1977,M03,1977 Mar,7.9
351,1977,M04,1977 Apr,6.9
352,1977,M05,1977 May,6.4
353,1977,M06,1977 Jun,7.5
354,1977,M07,1977 Jul,7.0
355,1977,M08,1977 Aug,6.8
356,1977,M09,1977 Sep,6.6
357,1977,M10,1977 Oct,6.4
358,1977,M11,1977 Nov,6.5
359,1977,M12,1977 Dec,6.0
360,1978,M01,1978 Jan,7.1
361,1978,M02,1978 Feb,6.9
362,1978,M03,1978 Mar,6.6
363,1978,M04,1978 Apr,5.8
364,1978,M05,1978 May,5.5
365,1978,M06,1978 Jun,6.2
366,1978,M07,1978 Jul,6.3
367,1978,M08,1978 Aug,5.9
368,1978,M09,1978 Sep,5.8
369,1978,M10,1978 Oct,5.4
370,1978,M11,1978 Nov,5.6
371,1978,M12,1978 Dec,5.7
372,1979,M01,1979 Jan,6.4
373,1979,M02,1979 Feb,6.4
374,1979,M03,1979 Mar,6.1
375,1979,M04,1979 Apr,5.5
376,1979,M05,1979 May,5.2
377,1979,M06,1979 Jun,6.0
378,1979,M07,1979 Jul,5.9
379,1979,M08,1979 Aug,5.9
380,1979,M09,1979 Sep,5.7
381,1979,M10,1979 Oct,5.6
382,1979,M11,1979 Nov,5.6
383,1979,M12,1979 Dec,5.7
384,1980,M01,1980 Jan,6.9
385,1980,M02,1980 Feb,6.8
386,1980,M03,1980 Mar,6.6
387,1980,M04,1980 Apr,6.7
388,1980,M05,1980 May,7.1
389,1980,M06,1980 Jun,7.8
390,1980,M07,1980 Jul,7.9
391,1980,M08,1980 Aug,7.6
392,1980,M09,1980 Sep,7.2
393,1980,M10,1980 Oct,7.1
394,1980,M11,1980 Nov,7.1
395,1980,M12,1980 Dec,6.9
396,1981,M01,1981 Jan,8.2
397,1981,M02,1981 Feb,8.0
398,1981,M03,1981 Mar,7.7
399,1981,M04,1981 Apr,7.0
400,1981,M05,1981 May,7.1
401,1981,M06,1981 Jun,7.7
402,1981,M07,1981 Jul,7.3
403,1981,M08,1981 Aug,7.2
404,1981,M09,1981 Sep,7.3
405,1981,M10,1981 Oct,7.5
406,1981,M11,1981 Nov,7.9
407,1981,M12,1981 Dec,8.3
408,1982,M01,1982 Jan,9.4
409,1982,M02,1982 Feb,9.6
410,1982,M03,1982 Mar,9.5
411,1982,M04,1982 Apr,9.2
412,1982,M05,1982 May,9.1
413,1982,M06,1982 Jun,9.8
414,1982,M07,1982 Jul,9.8
415,1982,M08,1982 Aug,9.6
416,1982,M09,1982 Sep,9.7
417,1982,M10,1982 Oct,9.9
418,1982,M11,1982 Nov,10.4
419,1982,M12,1982 Dec,10.5
